date,symbol,strike,entry,target,stop,expiry,score,outcome
2025-08-13,BANKNIFTY,55000,331.75,497.62,232.22,28-Aug-2025,1045.58,Pending
2025-08-13,NIFTY,24600,40.45,60.68,28.32,14-Aug-2025,1045.58,Pending
2025-08-14,BANKNIFTY,55000,319.4,479.1,223.58,28-Aug-2025,553.62,Pending
2025-08-14,NIFTY,24600,36.2,54.3,25.34,14-Aug-2025,553.62,Pending
2025-08-15,BANKNIFTY,55500,490.0,735.0,343.0,28-Aug-2025,50.43,Pending
2025-08-15,NIFTY,24600,118.0,177.0,82.6,21-Aug-2025,50.43,Pending
2025-08-18,BANKNIFTY,56000,498.5,747.75,348.95,28-Aug-2025,306.13,Pending
2025-08-18,NIFTY,25000,117.25,175.88,82.07,21-Aug-2025,306.13,Pending
2025-08-19,BANKNIFTY,56000,354.5,531.75,248.15,28-Aug-2025,277.49,Pending
2025-08-19,NIFTY,24900,86.55,129.82,60.58,21-Aug-2025,247.49,Pending
2025-08-20,BANKNIFTY,56000,387.2,580.8,271.04,28-Aug-2025,-188.45,Pending
2025-08-20,NIFTY,24900,37.75,56.62,26.42,21-Aug-2025,-188.45,Pending
2025-08-21,BANKNIFTY,56000,256.85,385.28,179.8,28-Aug-2025,-11.740000000000009,Pending
2025-08-21,NIFTY,25000,36.65,54.97,25.65,21-Aug-2025,-21.74000000000001,Pending
2025-08-22,BANKNIFTY,56000,228.55,342.83,159.98,28-Aug-2025,-157.77000000000004,Pending
2025-08-22,NIFTY,25100,114.0,171.0,79.8,28-Aug-2025,-167.77000000000004,Pending
2025-08-25,BANKNIFTY,55500,184.0,276.0,128.8,28-Aug-2025,1185.56,Pending
2025-08-25,NIFTY,25000,70.25,105.38,49.18,28-Aug-2025,1185.56,Pending
2025-08-26,BANKNIFTY,55200,225.0,337.5,157.5,28-Aug-2025,-286.4599999999999,Pending
2025-08-26,NIFTY,25000,74.85,112.28,52.4,28-Aug-2025,-266.4599999999999,Pending
2025-08-27,BANKNIFTY,55000,40.9,61.35,28.63,28-Aug-2025,41.5,Pending
2025-08-27,NIFTY,24800,41.0,61.5,28.7,28-Aug-2025,61.5,Pending
2025-08-28,BANKNIFTY,55000,40.9,61.35,28.63,28-Aug-2025,248.49,Pending
2025-08-28,NIFTY,24800,41.0,61.5,28.7,28-Aug-2025,268.49,Pending
2025-08-29,BANKNIFTY,54000,579.3,868.95,405.51,30-Sep-2025,242.15,Pending
2025-08-29,NIFTY,24600,91.6,137.4,64.12,02-Sep-2025,267.15,Pending
2025-09-01,BANKNIFTY,54000,645.25,967.88,451.67,30-Sep-2025,-342.38,Pending
2025-09-01,NIFTY,24600,39.4,59.1,27.58,02-Sep-2025,-317.38,Pending
2025-09-02,BANKNIFTY,54000,504.95,757.42,353.46,30-Sep-2025,-135.03000000000003,Pending
2025-09-02,NIFTY,24500,12.3,18.45,8.61,02-Sep-2025,-135.03000000000003,Pending
2025-09-03,BANKNIFTY,54000,657.95,986.92,460.56,30-Sep-2025,-455.1600000000001,Pending
2025-09-03,NIFTY,24700,181.45,272.17,127.01,09-Sep-2025,-465.1600000000001,Pending
2025-09-04,BANKNIFTY,54000,469.0,703.5,328.3,30-Sep-2025,411.68999999999994,Pending
2025-09-04,NIFTY,24600,57.0,85.5,39.9,09-Sep-2025,411.68999999999994,Pending
2025-09-05,BANKNIFTY,54000,468.2,702.3,327.74,30-Sep-2025,683.09,Pending
2025-09-05,NIFTY,24900,44.05,66.07,30.83,09-Sep-2025,693.09,Pending
2025-09-08,BANKNIFTY,54000,429.15,643.72,300.4,30-Sep-2025,-166.61,Pending
2025-09-08,NIFTY,24800,66.2,99.3,46.34,09-Sep-2025,-201.61,Pending
2025-09-09,BANKNIFTY,54000,346.2,519.3,242.34,30-Sep-2025,308.2,Pending
2025-09-09,NIFTY,24800,60.1,90.15,42.07,09-Sep-2025,298.2,Pending
